股票代码,股票名称,市场,流通股本,更新日期,上市日期,总股本,国有股,发起人法人股,法人股,B股,H股,职工股,总资产,流动资产,固定资产,无形资产,股东人数,流动负债,长期负债,资本公积金,净资产,主营收入,主营利润,应收账款,营业利润,投资收益,经营现金流,总现金流,存货,综合利润,税后利润,净利润,未分配利润,每股净资产
600007,中国国贸,沪市,1007282500.0,20250830,19990312,1007282500.0,20700000,6875371875.0,19652936250.0,0.0,0.0,6299.999952316284,112054080000.0,33511670000.0,13441035000.0,4251198750.0,16349,14819042500.0,50458999.0234375,18735872500.0,91774410000.0,18896520000.0,7627852500.0,2276331093.75,8402471250.0,18960000.0,8425949375.0,-8986306250.0,291982011.71875,8439807500.0,6327088125.0,6323711250.0,57929295000.0,9.111000061035156
600008,首创环保,沪市,7340590625.0,20250830,20000427,7340590625.0,13460000,9219133750.0,91424160000.0,0.0,0.0,1299.999952316284,1093997680000.0,312660520000.0,63111590000.0,461172760000.0,161904,273873840000.0,85858050000.0,29353570000.0,304147980000.0,87305270000.0,54442555000.0,164275080000.0,15699395000.0,-49506000.9765625,12600456250.0,-9810302500.0,9478428125.0,16026706250.0,12519955000.0,9292584375.0,77535255000.0,2.780999898910522
600009,上海机场,沪市,2046279531.25,20250922,19980218,2488481406.25,16560000,8148731250.0,60636600000.0,0.0,0.0,4199.999868869781,698331440000.0,205073100000.0,235187440000.0,4567253125.0,184103,93322480000.0,18602490000.0,164045980000.0,419709920000.0,63533670000.0,46760385000.0,25106110000.0,14646562500.0,4565303750.0,25460555000.0,10627365000.0,416608007.8125,14699751250.0,11989342500.0,10441543125.0,217293620000.0,16.86599922180176
600010,包钢股份,沪市,31380797500.0,20250926,20010309,45288620000.0,12310000,1081014531.25,352088080000.0,0.0,0.0,0.0,1537485440000.0,389450760000.0,644476640000.0,22015240000.0,846543,701656080000.0,93538490000.0,1672067968.75,520466040000.0,313286240000.0,283337840000.0,38149772500.0,1705438125.0,1005853046.875,1791317031.25,-43880785000.0,141344480000.0,1683757031.25,1113937031.25,1513330937.5,60455095000.0,1.14900004863739
600011,华能国际,沪市,10997710000.0,20250730,20011206,15698093750.0,13440000,74538180000.0,1188058560000.0,0.0,4700383437.5,5000.0,5946115840000.0,971718880000.0,3374326720000.0,189700520000.0,96506,1703864960000.0,689176880000.0,168144100000.0,1420505280000.0,1120320800000.0,900749920000.0,490874360000.0,145700360000.0,7414793750.0,307482280000.0,31848010000.0,110828820000.0,147620110000.0,123070820000.0,92618850000.0,202189520000.0,3.947999954223633
600012,皖通高速,沪市,1165600000.0,20250829,20030107,1708591875.0,16540000,9235281875.0,33485100000.0,0.0,542991914.0625,5799.999833106995,301379280000.0,61297860000.0,20066237500.0,198584020000.0,16965,33750122500.0,14268281250.0,4265696875.0,119356420000.0,37410515000.0,23501522500.0,0.0,12767652500.0,229941992.1875,15294806250.0,14138685000.0,42439003.90625,12770090000.0,9666556250.0,9604750000.0,98014760000.0,6.986000061035156
600015,华夏银行,沪市,15387223750.0,20250829,20030912,15914928750.0,19660000,124600000000.0,483540000000.0,0.0,0.0,6600.000262260437,45496248320000.0,0.0,705970000000.0,17710000000.0,81540,0.0,38560000000.0,607300000000.0,3656670080000.0,455220000000.0,300550000000.0,0.0,154670000000.0,86330000000.0,1318780000000.0,755070000000.0,0.0,154850000000.0,117450000000.0,114700000000.0,1460750080000.0,19.20999908447266
600016,民生银行,沪市,35462122500.0,20250830,20001219,43782420000.0,19660000,224740000000.0,671270000000.0,0.0,8320295000.0,4499.99988079071,77689210880000.0,0.0,495720000000.0,79070000000.0,299397,0.0,137680000000.0,580870000000.0,6885440000000.0,723840000000.0,492600000000.0,0.0,231240000000.0,92340000000.0,-2190430080000.0,136639920000.0,0.0,227940000000.0,214760000000.0,213800000000.0,2946529920000.0,12.86999988555908
600017,日照港,沪市,3075653750.0,20250828,20061017,3075653750.0,16550000,4339862812.5,41057825000.0,0.0,0.0,1199.99997317791,397563240000.0,33120800000.0,208609480000.0,75556095000.0,100944,113158810000.0,22384170000.0,19415143750.0,138816440000.0,36680245000.0,27770737500.0,7319170000.0,5239217187.5,204850000.0,10279503125.0,-3808315000.0,2300664062.5,5194128750.0,3976475000.0,3581773750.0,79362090000.0,4.513000011444092
600018,上港集团,沪市,23214577500.0,20250829,20061026,23281365000.0,16550000,84156220000.0,198375720000.0,0.0,0.0,3499.999940395355,2225256960000.0,547909200000.0,388623280000.0,137512210000.0,143283,299439040000.0,143344420000.0,107478290000.0,1366081440000.0,195692260000.0,120806750000.0,44142860000.0,98345990000.0,44335400000.0,62853830000.0,59366705000.0,67022430000.0,103508090000.0,87445130000.0,80395595000.0,904378560000.0,5.868000030517578
600019,宝钢股份,沪市,21782085000.0,20250828,20001212,21782085000.0,12310000,45445570000.0,1632510880000.0,0.0,0.0,2300.000041723251,3701127040000.0,1334377920000.0,1451082080000.0,113828520000.0,230775,1195606480000.0,188263320000.0,489861400000.0,2037362880000.0,1513724000000.0,1409580480000.0,145343720000.0,69475370000.0,10766947500.0,166469640000.0,-28288910000.0,399517040000.0,65860860000.0,54903775000.0,48788995000.0,915382320000.0,9.298999786376953
600020,中原高速,沪市,2247371875.0,20250811,20030808,2247371875.0,16540000,6158492500.0,27437710000.0,0.0,0.0,2700.000107288361,530130880000.0,70806450000.0,99592380000.0,280976420000.0,48010,53690800000.0,200000.0,13358168750.0,153694600000.0,31050370000.0,18946276250.0,15153412500.0,8253656875.0,1208200937.5,11462840000.0,1260175937.5,47885070000.0,8439775625.0,6631163125.0,6631163125.0,64646375000.0,5.171999931335449
600021,上海电力,沪市,2821185312.5,20251010,20031029,2821185312.5,13440000,13270998750.0,201212700000.0,0.0,0.0,6200.000047683716,1994826240000.0,444786760000.0,1002970560000.0,74745840000.0,143978,655183160000.0,269968960000.0,84083740000.0,302806100000.0,204748620000.0,146886890000.0,286152320000.0,40497475000.0,6657300000.0,61493750000.0,37013000000.0,8740561250.0,40474020000.0,33770955000.0,19090217500.0,82240855000.0,7.308000087738037
600022,山东钢铁,沪市,10698850000.0,20250822,20040629,10698850000.0,12310000,-9681038750.0,452145040000.0,0.0,0.0,0.0,655376760000.0,141046790000.0,406421280000.0,57423640000.0,207228,329667880000.0,94928220000.0,81231250000.0,187376780000.0,368060440000.0,345919920000.0,12349175000.0,3399298125.0,-43198002.9296875,28212025000.0,12919440000.0,43243380000.0,2924988125.0,2149413125.0,125257998.046875,-9239207500.0,1.751000046730042
600023,浙能电力,沪市,13408732500.0,20250829,20131219,13408732500.0,13440000,39268880000.0,401648800000.0,0.0,0.0,2599.999904632568,1576197440000.0,387629760000.0,556653360000.0,27945500000.0,140195,387633400000.0,140249590000.0,242115560000.0,737394800000.0,354718960000.0,316319400000.0,88186130000.0,41736105000.0,20782886250.0,55293610000.0,43074700000.0,46585280000.0,42472390000.0,38453872500.0,35118730000.0,256162700000.0,5.499000072479248
600025,华能水电,沪市,18000000000.0,20250829,20171215,18000000000.0,13440000,41693775000.0,118804360000.0,0.0,0.0,2500.0,2195181120000.0,78164830000.0,1658587040000.0,62336105000.0,95842,393626720000.0,59160220000.0,128194740000.0,745152960000.0,129589040000.0,51838520000.0,41164265000.0,58138390000.0,1878506093.75,86133040000.0,-8276517500.0,466731015.625,57912510000.0,50783410000.0,46090030000.0,229525800000.0,3.334000110626221
600026,中远海能,沪市,3474776250.0,20250830,20020523,4770776250.0,16550000,26388480000.0,119460790000.0,0.0,1296000000.0,3899.999856948853,844058480000.0,125737700000.0,477501840000.0,444700000.0,116510,152000780000.0,31089585000.0,116487320000.0,366950480000.0,116417360000.0,89435890000.0,12056730000.0,23914665000.0,6304875000.0,30796125000.0,19910298750.0,11357530000.0,23845340000.0,20708840000.0,18694843750.0,160915740000.0,7.691999912261963
600027,华电国际,沪市,8510327500.0,20250829,20050203,11611773750.0,13440000,34502450000.0,658702840000.0,0.0,1717233593.75,3300.000131130219,2599972640000.0,311783720000.0,1537782240000.0,86559310000.0,125034,835325680000.0,323248180000.0,162769780000.0,646746760000.0,599526360000.0,535247240000.0,121267620000.0,58713480000.0,24814240000.0,154625420000.0,-594840000.0,47962110000.0,59438400000.0,49546520000.0,39038770000.0,115350200000.0,4.096000194549561
